,time,close,coin_type
468,2022-01-12 00:00:00,0.1538,DOGE
469,2022-01-12 01:00:00,0.1534,DOGE
470,2022-01-12 02:00:00,0.1524,DOGE
471,2022-01-12 03:00:00,0.1532,DOGE
472,2022-01-12 04:00:00,0.1531,DOGE
473,2022-01-12 05:00:00,0.1531,DOGE
474,2022-01-12 06:00:00,0.1533,DOGE
475,2022-01-12 07:00:00,0.1521,DOGE
476,2022-01-12 08:00:00,0.1533,DOGE
477,2022-01-12 09:00:00,0.1544,DOGE
478,2022-01-12 10:00:00,0.1535,DOGE
479,2022-01-12 11:00:00,0.1552,DOGE
480,2022-01-12 12:00:00,0.1568,DOGE
481,2022-01-12 13:00:00,0.1587,DOGE
482,2022-01-12 14:00:00,0.1593,DOGE
483,2022-01-12 15:00:00,0.1608,DOGE
484,2022-01-12 16:00:00,0.1606,DOGE
485,2022-01-12 17:00:00,0.1609,DOGE
486,2022-01-12 18:00:00,0.1607,DOGE
487,2022-01-12 19:00:00,0.1599,DOGE
488,2022-01-12 20:00:00,0.159,DOGE
489,2022-01-12 21:00:00,0.1597,DOGE
490,2022-01-12 22:00:00,0.1606,DOGE
491,2022-01-12 23:00:00,0.163,DOGE
492,2022-01-13 00:00:00,0.1625,DOGE
493,2022-01-13 01:00:00,0.163,DOGE
494,2022-01-13 02:00:00,0.1661,DOGE
495,2022-01-13 03:00:00,0.1665,DOGE
496,2022-01-13 04:00:00,0.1695,DOGE
497,2022-01-13 05:00:00,0.1742,DOGE
498,2022-01-13 06:00:00,0.1713,DOGE
499,2022-01-13 07:00:00,0.1696,DOGE
500,2022-01-13 08:00:00,0.1746,DOGE
501,2022-01-13 09:00:00,0.1739,DOGE
502,2022-01-13 10:00:00,0.1734,DOGE
503,2022-01-13 11:00:00,0.171,DOGE
504,2022-01-13 12:00:00,0.1714,DOGE
505,2022-01-13 13:00:00,0.1709,DOGE
506,2022-01-13 14:00:00,0.1715,DOGE
507,2022-01-13 15:00:00,0.1655,DOGE
508,2022-01-13 16:00:00,0.1659,DOGE
509,2022-01-13 17:00:00,0.1629,DOGE
510,2022-01-13 18:00:00,0.1627,DOGE
511,2022-01-13 19:00:00,0.163,DOGE
512,2022-01-13 20:00:00,0.166,DOGE
513,2022-01-13 21:00:00,0.1707,DOGE
514,2022-01-13 22:00:00,0.1671,DOGE
515,2022-01-13 23:00:00,0.1717,DOGE
516,2022-01-14 00:00:00,0.1781,DOGE
517,2022-01-14 01:00:00,0.1764,DOGE
518,2022-01-14 02:00:00,0.1775,DOGE
519,2022-01-14 03:00:00,0.1759,DOGE
520,2022-01-14 04:00:00,0.1897,DOGE
521,2022-01-14 05:00:00,0.19,DOGE
522,2022-01-14 06:00:00,0.1997,DOGE
523,2022-01-14 07:00:00,0.196,DOGE
524,2022-01-14 08:00:00,0.1932,DOGE
525,2022-01-14 09:00:00,0.1962,DOGE
526,2022-01-14 10:00:00,0.1924,DOGE
527,2022-01-14 11:00:00,0.1885,DOGE
528,2022-01-14 12:00:00,0.189,DOGE
529,2022-01-14 13:00:00,0.1906,DOGE
530,2022-01-14 14:00:00,0.1945,DOGE
531,2022-01-14 15:00:00,0.1942,DOGE
532,2022-01-14 16:00:00,0.1922,DOGE
533,2022-01-14 17:00:00,0.1869,DOGE
534,2022-01-14 18:00:00,0.1889,DOGE
535,2022-01-14 19:00:00,0.1876,DOGE
536,2022-01-14 20:00:00,0.1889,DOGE
537,2022-01-14 21:00:00,0.1898,DOGE
538,2022-01-14 22:00:00,0.1879,DOGE
539,2022-01-14 23:00:00,0.1834,DOGE
540,2022-01-15 00:00:00,0.1833,DOGE
541,2022-01-15 01:00:00,0.1847,DOGE
542,2022-01-15 02:00:00,0.187,DOGE
543,2022-01-15 03:00:00,0.1908,DOGE
544,2022-01-15 04:00:00,0.1907,DOGE
545,2022-01-15 05:00:00,0.1898,DOGE
546,2022-01-15 06:00:00,0.19,DOGE
547,2022-01-15 07:00:00,0.1917,DOGE
548,2022-01-15 08:00:00,0.1899,DOGE
549,2022-01-15 09:00:00,0.1905,DOGE
550,2022-01-15 10:00:00,0.1893,DOGE
551,2022-01-15 11:00:00,0.1903,DOGE
552,2022-01-15 12:00:00,0.1869,DOGE
553,2022-01-15 13:00:00,0.188,DOGE
554,2022-01-15 14:00:00,0.1889,DOGE
555,2022-01-15 15:00:00,0.19,DOGE
556,2022-01-15 16:00:00,0.1886,DOGE
557,2022-01-15 17:00:00,0.1885,DOGE
558,2022-01-15 18:00:00,0.1871,DOGE
559,2022-01-15 19:00:00,0.1873,DOGE
560,2022-01-15 20:00:00,0.1868,DOGE
561,2022-01-15 21:00:00,0.1864,DOGE
562,2022-01-15 22:00:00,0.1849,DOGE
563,2022-01-15 23:00:00,0.1846,DOGE
564,2022-01-16 00:00:00,0.1834,DOGE
565,2022-01-16 01:00:00,0.1817,DOGE
566,2022-01-16 02:00:00,0.1797,DOGE
567,2022-01-16 03:00:00,0.1803,DOGE
568,2022-01-16 04:00:00,0.1817,DOGE
569,2022-01-16 05:00:00,0.1806,DOGE
570,2022-01-16 06:00:00,0.1819,DOGE
571,2022-01-16 07:00:00,0.1815,DOGE
572,2022-01-16 08:00:00,0.1822,DOGE
573,2022-01-16 09:00:00,0.1816,DOGE
574,2022-01-16 10:00:00,0.1798,DOGE
575,2022-01-16 11:00:00,0.1788,DOGE
576,2022-01-16 12:00:00,0.1782,DOGE
577,2022-01-16 13:00:00,0.1779,DOGE
578,2022-01-16 14:00:00,0.1784,DOGE
579,2022-01-16 15:00:00,0.1785,DOGE
580,2022-01-16 16:00:00,0.1785,DOGE
581,2022-01-16 17:00:00,0.1765,DOGE
582,2022-01-16 18:00:00,0.1776,DOGE
583,2022-01-16 19:00:00,0.1755,DOGE
584,2022-01-16 20:00:00,0.1764,DOGE
585,2022-01-16 21:00:00,0.1772,DOGE
586,2022-01-16 22:00:00,0.1786,DOGE
587,2022-01-16 23:00:00,0.1767,DOGE
